doctor(identificador,rut,email,Nombre,apellido,especialidad).
doctor(30,rutdoctor30,correo30@doctor.com,nombredoctor30,apellidodoctor30,General).
doctor(31,rutdoctor31,correo31@doctor.com,nombredoctor31,apellidodoctor31,Cardiologia).
doctor(32,rutdoctor32,correo32@doctor.com,nombredoctor32,apellidodoctor32,Broncopulmonar).
doctor(33,rutdoctor33,correo33@doctor.com,nombredoctor33,apellidodoctor33,Gastronterologo).
doctor(34,rutdoctor34,correo34@doctor.com,nombredoctor34,apellidodoctor34,Dermatologia).
doctor(35,rutdoctor35,correo35@doctor.com,nombredoctor35,apellidodoctor35,General).
doctor(36,rutdoctor36,correo36@doctor.com,nombredoctor36,apellidodoctor36,Cardiologia).
doctor(37,rutdoctor37,correo37@doctor.com,nombredoctor37,apellidodoctor37,Broncopulmonar).
doctor(38,rutdoctor38,correo38@doctor.com,nombredoctor38,apellidodoctor38,Gastronterologo).
doctor(39,rutdoctor39,correo39@doctor.com,nombredoctor39,apellidodoctor39,Dermatologia).
doctor(40,rutdoctor40,correo40@doctor.com,nombredoctor40,apellidodoctor40,General).
doctor(41,rutdoctor41,correo41@doctor.com,nombredoctor41,apellidodoctor41,Cardiologia).
doctor(42,rutdoctor42,correo42@doctor.com,nombredoctor42,apellidodoctor42,Broncopulmonar).
doctor(43,rutdoctor43,correo43@doctor.com,nombredoctor43,apellidodoctor43,Gastronterologo).
doctor(44,rutdoctor44,correo44@doctor.com,nombredoctor44,apellidodoctor44,Dermatologia).
doctor(45,rutdoctor45,correo45@doctor.com,nombredoctor45,apellidodoctor45,General).
doctor(46,rutdoctor46,correo46@doctor.com,nombredoctor46,apellidodoctor46,Cardiologia).
doctor(47,rutdoctor47,correo47@doctor.com,nombredoctor47,apellidodoctor47,Broncopulmonar).
doctor(48,rutdoctor48,correo48@doctor.com,nombredoctor48,apellidodoctor48,Gastronterologo).
doctor(49,rutdoctor49,correo49@doctor.com,nombredoctor49,apellidodoctor49,Dermatologia).
doctor(50,rutdoctor50,correo50@doctor.com,nombredoctor50,apellidodoctor50,General).
doctor(51,rutdoctor51,correo51@doctor.com,nombredoctor51,apellidodoctor51,Cardiologia).
doctor(52,rutdoctor52,correo52@doctor.com,nombredoctor52,apellidodoctor52,Broncopulmonar).
doctor(53,rutdoctor53,correo53@doctor.com,nombredoctor53,apellidodoctor53,Gastronterologo).
doctor(54,rutdoctor54,correo54@doctor.com,nombredoctor54,apellidodoctor54,Dermatologia).
doctor(55,rutdoctor55,correo55@doctor.com,nombredoctor55,apellidodoctor55,General).
doctor(56,rutdoctor56,correo56@doctor.com,nombredoctor56,apellidodoctor56,Cardiologia).
doctor(57,rutdoctor57,correo57@doctor.com,nombredoctor57,apellidodoctor57,Broncopulmonar).
doctor(58,rutdoctor58,correo58@doctor.com,nombredoctor58,apellidodoctor58,Gastronterologo).
doctor(59,rutdoctor59,correo59@doctor.com,nombredoctor59,apellidodoctor59,Dermatologia).
doctor(60,rutdoctor60,correo60@doctor.com,nombredoctor60,apellidodoctor60,General).
doctor(61,rutdoctor61,correo61@doctor.com,nombredoctor61,apellidodoctor61,Cardiologia).
doctor(62,rutdoctor62,correo62@doctor.com,nombredoctor62,apellidodoctor62,Broncopulmonar).
doctor(63,rutdoctor63,correo63@doctor.com,nombredoctor63,apellidodoctor63,Gastronterologo).
doctor(64,rutdoctor64,correo64@doctor.com,nombredoctor64,apellidodoctor64,Dermatologia).
doctor(65,rutdoctor65,correo65@doctor.com,nombredoctor65,apellidodoctor65,General).
doctor(66,rutdoctor66,correo66@doctor.com,nombredoctor66,apellidodoctor66,Cardiologia).
doctor(67,rutdoctor67,correo67@doctor.com,nombredoctor67,apellidodoctor67,Broncopulmonar).
doctor(68,rutdoctor68,correo68@doctor.com,nombredoctor68,apellidodoctor68,Gastronterologo).
doctor(69,rutdoctor69,correo69@doctor.com,nombredoctor69,apellidodoctor69,Dermatologia).
doctor(70,rutdoctor70,correo70@doctor.com,nombredoctor70,apellidodoctor70,General).
doctor(71,rutdoctor71,correo71@doctor.com,nombredoctor71,apellidodoctor71,Cardiologia).
doctor(72,rutdoctor72,correo72@doctor.com,nombredoctor72,apellidodoctor72,Broncopulmonar).
doctor(73,rutdoctor73,correo73@doctor.com,nombredoctor73,apellidodoctor73,Gastronterologo).
doctor(74,rutdoctor74,correo74@doctor.com,nombredoctor74,apellidodoctor74,Dermatologia).
doctor(75,rutdoctor75,correo75@doctor.com,nombredoctor75,apellidodoctor75,General).
doctor(76,rutdoctor76,correo76@doctor.com,nombredoctor76,apellidodoctor76,Cardiologia).
doctor(77,rutdoctor77,correo77@doctor.com,nombredoctor77,apellidodoctor77,Broncopulmonar).
doctor(78,rutdoctor78,correo78@doctor.com,nombredoctor78,apellidodoctor78,Gastronterologo).
doctor(79,rutdoctor79,correo79@doctor.com,nombredoctor79,apellidodoctor79,Dermatologia).
doctor(80,rutdoctor80,correo80@doctor.com,nombredoctor80,apellidodoctor80,General).
doctor(81,rutdoctor81,correo81@doctor.com,nombredoctor81,apellidodoctor81,Cardiologia).
doctor(82,rutdoctor82,correo82@doctor.com,nombredoctor82,apellidodoctor82,Broncopulmonar).
doctor(83,rutdoctor83,correo83@doctor.com,nombredoctor83,apellidodoctor83,Gastronterologo).
doctor(84,rutdoctor84,correo84@doctor.com,nombredoctor84,apellidodoctor84,Dermatologia).
doctor(85,rutdoctor85,correo85@doctor.com,nombredoctor85,apellidodoctor85,General).
doctor(86,rutdoctor86,correo86@doctor.com,nombredoctor86,apellidodoctor86,Cardiologia).
doctor(87,rutdoctor87,correo87@doctor.com,nombredoctor87,apellidodoctor87,Broncopulmonar).
doctor(88,rutdoctor88,correo88@doctor.com,nombredoctor88,apellidodoctor88,Gastronterologo).
doctor(89,rutdoctor89,correo89@doctor.com,nombredoctor89,apellidodoctor89,Dermatologia).
doctor(90,rutdoctor90,correo90@doctor.com,nombredoctor90,apellidodoctor90,General).
doctor(91,rutdoctor91,correo91@doctor.com,nombredoctor91,apellidodoctor91,Cardiologia).
doctor(92,rutdoctor92,correo92@doctor.com,nombredoctor92,apellidodoctor92,Broncopulmonar).
doctor(93,rutdoctor93,correo93@doctor.com,nombredoctor93,apellidodoctor93,Gastronterologo).
doctor(94,rutdoctor94,correo94@doctor.com,nombredoctor94,apellidodoctor94,Dermatologia).
doctor(95,rutdoctor95,correo95@doctor.com,nombredoctor95,apellidodoctor95,General).
doctor(96,rutdoctor96,correo96@doctor.com,nombredoctor96,apellidodoctor96,Cardiologia).
doctor(97,rutdoctor97,correo97@doctor.com,nombredoctor97,apellidodoctor97,Broncopulmonar).
doctor(98,rutdoctor98,correo98@doctor.com,nombredoctor98,apellidodoctor98,Gastronterologo).
doctor(99,rutdoctor99,correo99@doctor.com,nombredoctor99,apellidodoctor99,Dermatologia).
