identificador,rut,email,Nombre,apellido,especialidad
88,rutdoctor88,correo88@doctor.com,nombredoctor88,apellidodoctor88,Gastronterologo
89,rutdoctor89,correo89@doctor.com,nombredoctor89,apellidodoctor89,Dermatologia
90,rutdoctor90,correo90@doctor.com,nombredoctor90,apellidodoctor90,General
91,rutdoctor91,correo91@doctor.com,nombredoctor91,apellidodoctor91,Cardiologia
92,rutdoctor92,correo92@doctor.com,nombredoctor92,apellidodoctor92,Broncopulmonar
93,rutdoctor93,correo93@doctor.com,nombredoctor93,apellidodoctor93,Gastronterologo
94,rutdoctor94,correo94@doctor.com,nombredoctor94,apellidodoctor94,Dermatologia
95,rutdoctor95,correo95@doctor.com,nombredoctor95,apellidodoctor95,General
96,rutdoctor96,correo96@doctor.com,nombredoctor96,apellidodoctor96,Cardiologia
97,rutdoctor97,correo97@doctor.com,nombredoctor97,apellidodoctor97,Broncopulmonar
98,rutdoctor98,correo98@doctor.com,nombredoctor98,apellidodoctor98,Gastronterologo
99,rutdoctor99,correo99@doctor.com,nombredoctor99,apellidodoctor99,Dermatologia
